ID,Sex,Greutate,Lungime_urechi,Ureche_lăsată,Culoare,Vârstă,Tip_blană,Calitate_blană,Formă_corp,Apare_gușa,Sănătate,Scor_jurizare
629,Mascul,2.9,18.1,False,Havana,12,Scurtă,Bună,Incorectă,False,Sănătos,65
778,Mascul,3.1,21.0,False,Agouti,18,Lungă,Bună,Incorectă,False,Aspect_neîngrijit,64
507,Femelă,2.1,21.4,False,Agouti,7,Lungă,Bună,Aproape_corectă,False,Sănătos,70
343,Femelă,1.8,23.7,False,Alb,10,Lungă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
486,Femelă,6.5,41.4,True,Agouti,11,Lungă,Excelentă,Corectă,False,Aspect_neîngrijit,99
712,Femelă,7.1,43.6,True,Alb,14,Lungă,Bună,Incorectă,False,Sănătos,80
134,Femelă,1.8,21.2,False,Albastru,6,Scurtă,Foarte_bună,Corectă,False,Probleme_grave_de_sănătate,0
704,Femelă,1.8,20.1,False,Havana,8,Scurtă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
312,Mascul,2.0,21.8,False,Alb,7,Scurtă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,78
723,Femelă,6.3,39.3,True,Alb,8,Lungă,Bună,Incorectă,False,Probleme_grave_de_sănătate,0
630,Mascul,4.8,41.8,True,Agouti,14,Lungă,Excelentă,Aproape_corectă,False,Probleme_grave_de_sănătate,0
1,Mascul,3.2,21.3,False,Negru,13,Lungă,Foarte_bună,Incorectă,True,Probleme_grave_de_sănătate,0
317,Femelă,3.2,21.5,False,Agouti,9,Lungă,Bună,Incorectă,True,Probleme_grave_de_sănătate,0
707,Femelă,3.1,21.9,False,Alb,16,Lungă,Foarte_bună,Aproape_corectă,False,Aspect_neîngrijit,74
548,Mascul,6.4,44.7,True,Havana,15,Lungă,Foarte_bună,Incorectă,False,Aspect_neîngrijit,84
873,Mascul,2.3,23.3,False,Albastru,6,Lungă,Excelentă,Aproape_corectă,False,Sănătos,80
533,Femelă,2.3,22.5,False,Alb,10,Lungă,Excelentă,Aproape_corectă,False,Probleme_grave_de_sănătate,0
478,Mascul,7.0,42.8,True,Albastru,15,Lungă,Foarte_bună,Aproape_corectă,False,Aspect_neîngrijit,89
405,Femelă,3.0,19.5,False,Havana,9,Scurtă,Bună,Aproape_corectă,False,Aspect_neîngrijit,69
173,Mascul,2.8,24.0,False,Alb,13,Lungă,Excelentă,Incorectă,False,Sănătos,75
126,Mascul,2.2,21.9,False,Agouti,12,Scurtă,Bună,Aproape_corectă,True,Aspect_neîngrijit,0
395,Femelă,2.3,18.8,False,Agouti,10,Scurtă,Excelentă,Aproape_corectă,False,Aspect_neîngrijit,79
421,Femelă,2.9,21.0,False,Alb,11,Scurtă,Foarte_bună,Incorectă,False,Sănătos,70
553,Mascul,2.0,23.7,False,Havana,12,Lungă,Foarte_bună,Incorectă,False,Ușoare_probleme_de_sănătate,68
904,Mascul,2.3,20.8,False,Albastru,6,Lungă,Foarte_bună,Corectă,False,Aspect_neîngrijit,79
91,Femelă,2.8,23.6,False,Negru,16,Lungă,Excelentă,Incorectă,False,Ușoare_probleme_de_sănătate,73
940,Femelă,2.3,22.9,False,Agouti,8,Lungă,Foarte_bună,Aproape_corectă,False,Sănătos,75
182,Mascul,1.5,18.5,False,Agouti,9,Scurtă,Excelentă,Corectă,False,Aspect_neîngrijit,84
275,Femelă,7.3,40.8,True,Agouti,17,Lungă,Bună,Incorectă,False,Aspect_neîngrijit,79
896,Mascul,6.0,41.5,True,Agouti,12,Lungă,Excelentă,Incorectă,False,Probleme_grave_de_sănătate,0
70,Femelă,2.1,21.8,False,Alb,12,Scurtă,Bună,Corectă,False,Probleme_grave_de_sănătate,0
292,Mascul,1.8,21.6,False,Negru,8,Scurtă,Bună,Corectă,False,Probleme_grave_de_sănătate,0
132,Femelă,5.5,38.6,True,Havana,10,Lungă,Excelentă,Aproape_corectă,False,Sănătos,95
301,Mascul,1.6,24.4,False,Agouti,6,Lungă,Excelentă,Corectă,False,Aspect_neîngrijit,84
425,Mascul,7.4,41.0,True,Albastru,15,Lungă,Bună,Corectă,False,Sănătos,90
327,Mascul,3.2,22.5,False,Havana,12,Lungă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,78
145,Femelă,7.8,43.1,True,Negru,17,Lungă,Bună,Aproape_corectă,False,Sănătos,85
424,Femelă,2.4,22.8,False,Agouti,7,Lungă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
581,Femelă,2.9,18.2,False,Albastru,11,Scurtă,Excelentă,Incorectă,False,Probleme_grave_de_sănătate,0
136,Mascul,2.4,22.0,False,Havana,12,Lungă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,78
451,Mascul,5.2,39.5,True,Alb,16,Lungă,Bună,Aproape_corectă,True,Probleme_grave_de_sănătate,0
165,Mascul,2.9,20.5,False,Negru,10,Scurtă,Excelentă,Aproape_corectă,False,Probleme_grave_de_sănătate,0
29,Femelă,8.2,38.4,True,Agouti,10,Lungă,Bună,Aproape_corectă,False,Aspect_neîngrijit,84
774,Femelă,2.7,22.9,False,Alb,8,Lungă,Bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
194,Femelă,3.0,21.9,False,Agouti,6,Lungă,Excelentă,Aproape_corectă,False,Probleme_grave_de_sănătate,0
389,Femelă,9.0,41.5,True,Havana,12,Lungă,Foarte_bună,Incorectă,True,Sănătos,83
853,Femelă,5.1,44.5,True,Alb,17,Lungă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,92
170,Mascul,2.3,21.9,False,Havana,12,Scurtă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
706,Femelă,1.7,20.2,False,Negru,10,Lungă,Excelentă,Aproape_corectă,False,Sănătos,80
141,Mascul,2.4,20.4,False,Alb,17,Lungă,Foarte_bună,Aproape_corectă,True,Probleme_grave_de_sănătate,0
174,Femelă,1.5,18.7,False,Alb,11,Scurtă,Foarte_bună,Aproape_corectă,True,Sănătos,73
7,Mascul,7.2,42.0,True,Havana,6,Lungă,Bună,Aproape_corectă,False,Sănătos,85
746,Mascul,1.6,24.4,False,Alb,16,Lungă,Excelentă,Aproape_corectă,False,Aspect_neîngrijit,79
479,Mascul,3.0,22.6,False,Agouti,7,Lungă,Excelentă,Corectă,True,Probleme_grave_de_sănătate,0
74,Femelă,2.0,21.6,False,Havana,11,Scurtă,Excelentă,Incorectă,False,Aspect_neîngrijit,74
911,Mascul,8.2,43.9,True,Agouti,7,Lungă,Foarte_bună,Aproape_corectă,False,Sănătos,90
814,Mascul,2.1,22.1,False,Agouti,16,Lungă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,78
239,Femelă,5.6,42.0,True,Albastru,6,Lungă,Excelentă,Incorectă,False,Probleme_grave_de_sănătate,0
146,Mascul,1.7,21.5,False,Agouti,11,Scurtă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,78
793,Mascul,2.1,21.2,False,Albastru,12,Scurtă,Bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,68
235,Mascul,1.6,22.1,False,Negru,7,Lungă,Bună,Corectă,False,Probleme_grave_de_sănătate,0
221,Mascul,1.6,18.0,False,Negru,8,Scurtă,Excelentă,Corectă,False,Sănătos,85
924,Mascul,2.6,19.0,False,Negru,9,Scurtă,Bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,68
501,Mascul,1.5,24.1,False,Havana,7,Lungă,Foarte_bună,Incorectă,True,Aspect_neîngrijit,0
133,Mascul,2.7,18.3,False,Albastru,11,Scurtă,Excelentă,Corectă,False,Probleme_grave_de_sănătate,0
991,Femelă,6.1,39.1,True,Negru,11,Lungă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,93
775,Mascul,3.1,23.1,False,Agouti,7,Lungă,Excelentă,Corectă,False,Sănătos,85
186,Femelă,6.7,39.2,True,Havana,10,Lungă,Excelentă,Corectă,True,Aspect_neîngrijit,97
42,Femelă,3.1,24.1,False,Albastru,17,Lungă,Bună,Corectă,False,Ușoare_probleme_de_sănătate,73
697,Mascul,2.7,18.3,False,Albastru,6,Scurtă,Excelentă,Corectă,True,Aspect_neîngrijit,0
109,Mascul,2.5,18.5,False,Negru,10,Scurtă,Excelentă,Corectă,False,Probleme_grave_de_sănătate,0
589,Mascul,2.9,20.5,False,Havana,10,Scurtă,Excelentă,Aproape_corectă,True,Ușoare_probleme_de_sănătate,0
57,Mascul,6.4,42.3,True,Havana,13,Lungă,Foarte_bună,Aproape_corectă,True,Probleme_grave_de_sănătate,0
406,Mascul,2.5,20.2,False,Alb,7,Scurtă,Bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,68
443,Femelă,2.1,20.3,False,Albastru,9,Scurtă,Bună,Incorectă,False,Aspect_neîngrijit,64
758,Femelă,6.5,38.1,True,Negru,13,Lungă,Excelentă,Corectă,True,Ușoare_probleme_de_sănătate,96
998,Femelă,2.0,22.0,False,Agouti,8,Scurtă,Excelentă,Incorectă,True,Sănătos,73
25,Mascul,1.6,21.5,False,Agouti,12,Scurtă,Foarte_bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,73
468,Femelă,1.9,19.4,False,Agouti,7,Scurtă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
540,Mascul,3.2,20.4,False,Albastru,14,Lungă,Bună,Corectă,False,Probleme_grave_de_sănătate,0
532,Femelă,7.4,42.0,True,Alb,7,Lungă,Excelentă,Aproape_corectă,False,Aspect_neîngrijit,94
619,Mascul,1.9,18.1,False,Havana,6,Scurtă,Excelentă,Aproape_corectă,False,Probleme_grave_de_sănătate,0
695,Femelă,8.9,40.6,True,Alb,13,Lungă,Foarte_bună,Aproape_corectă,False,Sănătos,90
927,Femelă,8.1,43.0,True,Negru,7,Lungă,Bună,Aproape_corectă,False,Aspect_neîngrijit,84
339,Femelă,1.7,18.6,False,Agouti,12,Scurtă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,78
52,Femelă,3.0,21.1,False,Agouti,9,Scurtă,Foarte_bună,Corectă,False,Aspect_neîngrijit,79
508,Femelă,1.7,18.2,False,Albastru,11,Scurtă,Excelentă,Incorectă,False,Probleme_grave_de_sănătate,0
517,Mascul,3.4,24.2,False,Alb,14,Lungă,Foarte_bună,Incorectă,False,Ușoare_probleme_de_sănătate,68
921,Femelă,1.9,21.0,False,Alb,6,Scurtă,Foarte_bună,Corectă,False,Sănătos,80
782,Mascul,2.9,22.6,False,Alb,14,Lungă,Excelentă,Aproape_corectă,False,Sănătos,80
265,Femelă,5.7,44.3,True,Havana,10,Lungă,Excelentă,Aproape_corectă,True,Aspect_neîngrijit,92
818,Femelă,1.7,18.5,False,Albastru,7,Scurtă,Foarte_bună,Corectă,False,Aspect_neîngrijit,79
711,Femelă,1.8,20.4,False,Albastru,12,Scurtă,Excelentă,Incorectă,False,Aspect_neîngrijit,74
683,Mascul,1.6,20.9,False,Alb,14,Lungă,Bună,Corectă,False,Aspect_neîngrijit,74
833,Mascul,2.2,20.2,False,Agouti,10,Scurtă,Excelentă,Incorectă,True,Probleme_grave_de_sănătate,0
519,Femelă,5.5,43.0,True,Albastru,11,Lungă,Foarte_bună,Incorectă,False,Ușoare_probleme_de_sănătate,83
448,Femelă,2.1,23.5,False,Alb,7,Lungă,Foarte_bună,Incorectă,False,Ușoare_probleme_de_sănătate,68
19,Mascul,7.0,40.7,True,Agouti,12,Lungă,Foarte_bună,Incorectă,False,Ușoare_probleme_de_sănătate,83
716,Femelă,3.0,21.6,False,Havana,8,Lungă,Bună,Incorectă,False,Ușoare_probleme_de_sănătate,63
484,Femelă,5.3,41.7,True,Agouti,6,Lungă,Bună,Corectă,False,Ușoare_probleme_de_sănătate,87
569,Mascul,2.7,18.7,False,Albastru,12,Scurtă,Foarte_bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,73
434,Femelă,2.2,24.5,False,Alb,17,Lungă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,78
368,Femelă,5.6,38.3,True,Agouti,18,Lungă,Excelentă,Corectă,False,Aspect_neîngrijit,99
84,Femelă,8.0,42.0,True,Albastru,16,Lungă,Excelentă,Incorectă,True,Sănătos,88
62,Mascul,2.1,23.6,False,Albastru,18,Lungă,Bună,Corectă,False,Probleme_grave_de_sănătate,0
639,Mascul,1.5,23.8,False,Negru,9,Lungă,Excelentă,Incorectă,False,Sănătos,75
273,Mascul,1.7,23.4,False,Albastru,9,Lungă,Bună,Corectă,False,Ușoare_probleme_de_sănătate,73
286,Femelă,5.9,44.5,True,Alb,9,Lungă,Bună,Corectă,False,Aspect_neîngrijit,89
361,Femelă,2.7,18.0,False,Alb,11,Scurtă,Excelentă,Corectă,False,Aspect_neîngrijit,84
355,Femelă,5.3,41.7,True,Havana,10,Lungă,Foarte_bună,Corectă,False,Sănătos,94
457,Femelă,3.3,22.5,False,Albastru,9,Lungă,Foarte_bună,Incorectă,True,Probleme_grave_de_sănătate,0
279,Femelă,1.8,18.8,False,Albastru,7,Scurtă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,78
13,Femelă,6.7,38.6,True,Albastru,8,Lungă,Excelentă,Corectă,False,Sănătos,100
183,Mascul,3.5,23.5,False,Agouti,8,Lungă,Excelentă,Corectă,False,Ușoare_probleme_de_sănătate,83
369,Mascul,6.9,42.2,True,Havana,8,Lungă,Excelentă,Corectă,False,Aspect_neîngrijit,99
882,Femelă,7.4,44.3,True,Albastru,12,Lungă,Foarte_bună,Incorectă,True,Sănătos,83
616,Femelă,2.3,19.2,False,Agouti,9,Scurtă,Excelentă,Aproape_corectă,True,Probleme_grave_de_sănătate,0
224,Mascul,2.3,23.7,False,Agouti,14,Lungă,Excelentă,Aproape_corectă,True,Sănătos,0
573,Mascul,1.8,23.5,False,Negru,8,Lungă,Bună,Aproape_corectă,True,Sănătos,0
971,Mascul,7.7,40.5,True,Havana,8,Lungă,Excelentă,Corectă,True,Ușoare_probleme_de_sănătate,0
654,Mascul,7.5,42.6,True,Negru,16,Lungă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
546,Mascul,5.7,40.1,True,Agouti,9,Lungă,Bună,Incorectă,False,Ușoare_probleme_de_sănătate,78
583,Femelă,1.6,23.1,False,Negru,13,Lungă,Excelentă,Corectă,False,Aspect_neîngrijit,84
634,Femelă,3.2,21.8,False,Agouti,15,Lungă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
177,Femelă,5.8,38.2,True,Alb,12,Lungă,Excelentă,Corectă,False,Ușoare_probleme_de_sănătate,98
666,Femelă,6.3,41.9,True,Alb,17,Lungă,Foarte_bună,Incorectă,False,Aspect_neîngrijit,84
674,Mascul,2.3,21.2,False,Alb,6,Scurtă,Excelentă,Incorectă,False,Ușoare_probleme_de_sănătate,73
586,Femelă,1.6,22.5,False,Alb,6,Lungă,Foarte_bună,Corectă,True,Probleme_grave_de_sănătate,0
874,Mascul,2.0,22.0,False,Agouti,7,Lungă,Foarte_bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,73
394,Femelă,3.0,24.9,False,Negru,8,Lungă,Bună,Incorectă,True,Sănătos,63
164,Mascul,5.7,43.6,True,Alb,18,Lungă,Excelentă,Corectă,False,Sănătos,100
249,Femelă,1.6,20.4,False,Agouti,12,Scurtă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,78
635,Femelă,2.0,18.2,False,Albastru,6,Scurtă,Foarte_bună,Aproape_corectă,False,Sănătos,75
886,Mascul,1.6,24.4,False,Havana,10,Lungă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
670,Mascul,2.3,21.6,False,Havana,7,Scurtă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
376,Mascul,2.4,24.7,False,Albastru,8,Lungă,Foarte_bună,Aproape_corectă,False,Sănătos,75
413,Femelă,1.9,24.4,False,Alb,10,Lungă,Excelentă,Incorectă,False,Aspect_neîngrijit,74
75,Femelă,2.2,24.1,False,Havana,7,Lungă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
114,Mascul,1.7,23.9,False,Negru,16,Lungă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
599,Femelă,5.5,41.9,True,Albastru,14,Lungă,Bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
962,Femelă,6.5,43.7,True,Havana,17,Lungă,Bună,Incorectă,False,Probleme_grave_de_sănătate,0
391,Mascul,5.1,39.6,True,Havana,15,Lungă,Excelentă,Incorectă,False,Aspect_neîngrijit,88
105,Femelă,1.8,22.3,False,Havana,11,Lungă,Excelentă,Corectă,False,Sănătos,85
115,Mascul,3.2,21.5,False,Agouti,16,Lungă,Excelentă,Aproape_corectă,False,Ușoare_probleme_de_sănătate,78
418,Femelă,1.8,21.4,False,Alb,11,Lungă,Bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
526,Femelă,2.8,21.4,False,Agouti,8,Scurtă,Foarte_bună,Corectă,False,Aspect_neîngrijit,79
458,Mascul,5.4,44.5,True,Havana,14,Lungă,Foarte_bună,Incorectă,False,Sănătos,84
410,Femelă,7.2,38.4,True,Albastru,18,Lungă,Foarte_bună,Corectă,False,Probleme_grave_de_sănătate,0
93,Femelă,3.4,21.4,False,Albastru,18,Lungă,Bună,Incorectă,False,Sănătos,65
931,Mascul,8.8,44.4,True,Negru,18,Lungă,Excelentă,Corectă,False,Sănătos,100
90,Femelă,7.0,38.6,True,Havana,10,Lungă,Foarte_bună,Incorectă,False,Aspect_neîngrijit,84
337,Femelă,3.2,23.2,False,Albastru,15,Lungă,Bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,68
989,Femelă,2.4,20.3,False,Albastru,7,Scurtă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
922,Mascul,7.9,43.4,True,Alb,9,Lungă,Foarte_bună,Corectă,False,Probleme_grave_de_sănătate,0
934,Mascul,2.7,20.2,False,Albastru,7,Lungă,Foarte_bună,Corectă,False,Probleme_grave_de_sănătate,0
606,Mascul,3.5,22.9,False,Negru,15,Lungă,Bună,Incorectă,False,Aspect_neîngrijit,64
594,Femelă,3.0,23.2,False,Havana,13,Lungă,Bună,Corectă,False,Ușoare_probleme_de_sănătate,73
612,Femelă,2.7,20.7,False,Havana,13,Lungă,Excelentă,Incorectă,True,Sănătos,73
95,Mascul,6.2,44.9,True,Alb,17,Lungă,Bună,Corectă,False,Sănătos,90
12,Femelă,1.6,22.4,False,Albastru,15,Lungă,Bună,Corectă,False,Aspect_neîngrijit,74
397,Femelă,1.6,19.7,False,Agouti,6,Scurtă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,78
534,Femelă,4.8,41.9,True,Agouti,10,Lungă,Foarte_bună,Aproape_corectă,False,Sănătos,87
44,Mascul,2.8,24.5,False,Agouti,11,Lungă,Bună,Incorectă,False,Aspect_neîngrijit,64
43,Mascul,7.2,39.7,True,Havana,16,Lungă,Excelentă,Incorectă,False,Ușoare_probleme_de_sănătate,88
330,Femelă,3.1,20.8,False,Havana,6,Lungă,Foarte_bună,Incorectă,True,Aspect_neîngrijit,67
168,Mascul,1.6,21.7,False,Havana,12,Lungă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
498,Femelă,2.5,20.1,False,Albastru,9,Scurtă,Excelentă,Aproape_corectă,False,Sănătos,80
877,Mascul,2.9,19.8,False,Agouti,6,Scurtă,Excelentă,Corectă,True,Ușoare_probleme_de_sănătate,0
598,Femelă,1.5,22.3,False,Agouti,14,Lungă,Foarte_bună,Incorectă,False,Aspect_neîngrijit,69
757,Femelă,2.8,18.3,False,Havana,10,Scurtă,Foarte_bună,Aproape_corectă,False,Aspect_neîngrijit,74
101,Mascul,7.7,38.7,True,Negru,18,Lungă,Bună,Corectă,False,Ușoare_probleme_de_sănătate,88
427,Mascul,6.7,39.9,True,Negru,7,Lungă,Foarte_bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,88
179,Femelă,1.6,21.4,False,Negru,7,Lungă,Foarte_bună,Aproape_corectă,False,Aspect_neîngrijit,74
445,Femelă,8.0,42.4,True,Alb,7,Lungă,Excelentă,Incorectă,False,Sănătos,90
417,Mascul,8.8,42.8,True,Alb,10,Lungă,Bună,Incorectă,False,Ușoare_probleme_de_sănătate,78
871,Femelă,2.9,20.9,False,Alb,11,Scurtă,Excelentă,Incorectă,True,Ușoare_probleme_de_sănătate,71
883,Mascul,8.7,44.8,True,Albastru,13,Lungă,Excelentă,Incorectă,True,Ușoare_probleme_de_sănătate,0
681,Mascul,1.8,19.7,False,Albastru,6,Scurtă,Foarte_bună,Corectă,True,Ușoare_probleme_de_sănătate,0
178,Mascul,1.7,19.1,False,Albastru,9,Scurtă,Bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,68
396,Femelă,1.8,21.5,False,Negru,7,Lungă,Bună,Incorectă,False,Probleme_grave_de_sănătate,0
912,Femelă,1.9,20.6,False,Agouti,6,Lungă,Excelentă,Corectă,False,Aspect_neîngrijit,84
794,Mascul,5.9,38.1,True,Havana,13,Lungă,Bună,Corectă,True,Ușoare_probleme_de_sănătate,0
961,Mascul,1.7,21.2,False,Negru,10,Scurtă,Excelentă,Incorectă,False,Sănătos,75
685,Femelă,8.2,41.9,True,Havana,14,Lungă,Excelentă,Incorectă,False,Probleme_grave_de_sănătate,0
384,Mascul,1.6,20.1,False,Negru,8,Lungă,Bună,Incorectă,False,Probleme_grave_de_sănătate,0
957,Mascul,2.9,19.1,False,Alb,11,Scurtă,Bună,Incorectă,False,Ușoare_probleme_de_sănătate,63
752,Mascul,2.8,21.7,False,Alb,9,Scurtă,Foarte_bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,73
258,Mascul,2.1,24.3,False,Havana,6,Lungă,Foarte_bună,Incorectă,False,Sănătos,70
539,Mascul,1.9,22.2,False,Havana,13,Lungă,Foarte_bună,Corectă,True,Ușoare_probleme_de_sănătate,0
336,Mascul,6.1,40.0,True,Havana,10,Lungă,Excelentă,Incorectă,False,Sănătos,90
16,Femelă,1.5,21.8,False,Albastru,15,Lungă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
325,Mascul,5.4,41.5,True,Alb,18,Lungă,Excelentă,Corectă,True,Probleme_grave_de_sănătate,0
759,Femelă,2.8,22.0,False,Havana,11,Lungă,Excelentă,Incorectă,True,Probleme_grave_de_sănătate,0
223,Mascul,1.9,23.5,False,Alb,18,Lungă,Foarte_bună,Corectă,False,Probleme_grave_de_sănătate,0
180,Mascul,2.5,23.3,False,Havana,14,Lungă,Bună,Incorectă,False,Ușoare_probleme_de_sănătate,63
984,Mascul,5.3,41.5,True,Negru,10,Lungă,Bună,Corectă,True,Aspect_neîngrijit,0
23,Femelă,1.7,18.6,False,Alb,8,Scurtă,Foarte_bună,Incorectă,False,Ușoare_probleme_de_sănătate,68
357,Mascul,7.3,40.1,True,Havana,17,Lungă,Bună,Corectă,True,Aspect_neîngrijit,0
667,Mascul,7.3,39.8,True,Negru,12,Lungă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,93
862,Mascul,2.9,20.2,False,Negru,9,Scurtă,Foarte_bună,Corectă,False,Probleme_grave_de_sănătate,0
341,Mascul,2.4,20.8,False,Agouti,10,Scurtă,Excelentă,Aproape_corectă,True,Aspect_neîngrijit,0
432,Mascul,2.5,18.5,False,Alb,11,Scurtă,Bună,Corectă,True,Ușoare_probleme_de_sănătate,0
552,Femelă,2.4,19.5,False,Negru,10,Scurtă,Excelentă,Corectă,False,Sănătos,85
834,Femelă,1.9,18.1,False,Alb,8,Scurtă,Foarte_bună,Incorectă,False,Ușoare_probleme_de_sănătate,68
204,Mascul,3.2,22.5,False,Alb,7,Lungă,Foarte_bună,Aproape_corectă,False,Aspect_neîngrijit,74
631,Mascul,1.5,22.6,False,Alb,18,Lungă,Bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
94,Femelă,7.3,43.0,True,Havana,13,Lungă,Bună,Incorectă,False,Probleme_grave_de_sănătate,0
559,Femelă,7.6,44.5,True,Albastru,17,Lungă,Bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
69,Mascul,7.5,42.7,True,Negru,15,Lungă,Bună,Corectă,True,Aspect_neîngrijit,0
623,Femelă,2.8,23.2,False,Agouti,6,Lungă,Foarte_bună,Aproape_corectă,False,Probleme_grave_de_sănătate,0
285,Femelă,3.4,21.2,False,Negru,10,Lungă,Excelentă,Incorectă,False,Sănătos,75
845,Femelă,3.2,21.9,False,Havana,17,Lungă,Excelentă,Corectă,False,Sănătos,85
435,Femelă,2.4,21.8,False,Agouti,10,Scurtă,Bună,Incorectă,True,Aspect_neîngrijit,62
